RENTREE SCOLAIRE;NIVEAU GEOGRAPHIQUE;LIBELLE GEOGRAPHIQUE;NIVEAU D'ENSEIGNEMENT;CLASSE;SECTEUR D'ENSEIGNEMENT;CONTRAT DE L'ETABLISSEMENT;NOMBRE D'ELEVES
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;210
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;14000
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;81613
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;231
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;14545
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;80144
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;217
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;15057
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;80439
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;221
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;15098
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;76199
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ULIS;ULIS;PRIVE;SOUS CONTRAT;352
2009;REGION;AUVERGNE-ET-RHONE-ALPES;ULIS;ULIS;PUBLIC;PUBLIC;4508
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;HORS CONTRAT;2
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;748
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;4521
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;HORS CONTRAT;2
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;2009
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;30397
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;2
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;1984
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;30377
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;7
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;2127
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;31087
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;13
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;2388
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;31047
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;18
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;2524
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;31374
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;19
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;2693
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;30551
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;14
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;2894
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;31193
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;26
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;3006
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;29871
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ULIS;ULIS;PRIVE;SOUS CONTRAT;78
2009;REGION;BOURGOGNE-ET-FRANCHE-COMTE;ULIS;ULIS;PUBLIC;PUBLIC;2088
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;HORS CONTRAT;33
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;6198
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;9397
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;HORS CONTRAT;56
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;14613
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;24169
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;68
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;14478
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;23829
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;70
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;14696
2009;REGION;BRETAGNE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;24164
2009;REGION;BRETAGNE;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;96
2009;REGION;BRETAGNE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;15530
2009;REGION;BRETAGNE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;24311
2009;REGION;BRETAGNE;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;101
2009;REGION;BRETAGNE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;15499
2009;REGION;BRETAGNE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;24637
2009;REGION;BRETAGNE;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;78
2009;REGION;BRETAGNE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;15667
2009;REGION;BRETAGNE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;24382
2009;REGION;BRETAGNE;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;80
2009;REGION;BRETAGNE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;16015
2009;REGION;BRETAGNE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;24416
2009;REGION;BRETAGNE;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;90
2009;REGION;BRETAGNE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;15258
2009;REGION;BRETAGNE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;23451
2009;REGION;BRETAGNE;ULIS;ULIS;PRIVE;SOUS CONTRAT;408
2009;REGION;BRETAGNE;ULIS;ULIS;PUBLIC;PUBLIC;1256
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;531
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;2015
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;2222
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;28355
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;HORS CONTRAT;8
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;2219
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;28435
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;HORS CONTRAT;11
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;2386
2009;REGION;CENTRE-VAL-DE-LOIRE;PRE-ELEMENTAIRE;GRANDE SECTION;PUBLIC;PUBLIC;28569
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CP;PRIVE;HORS CONTRAT;10
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CP;PRIVE;SOUS CONTRAT;2732
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CP;PUBLIC;PUBLIC;29033
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CE1;PRIVE;HORS CONTRAT;10
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CE1;PRIVE;SOUS CONTRAT;2839
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CE1;PUBLIC;PUBLIC;29122
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CE2;PRIVE;HORS CONTRAT;13
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CE2;PRIVE;SOUS CONTRAT;3028
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CE2;PUBLIC;PUBLIC;28715
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CM1;PRIVE;HORS CONTRAT;7
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CM1;PRIVE;SOUS CONTRAT;3116
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CM1;PUBLIC;PUBLIC;28281
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CM2;PRIVE;HORS CONTRAT;4
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CM2;PRIVE;SOUS CONTRAT;3224
2009;REGION;CENTRE-VAL-DE-LOIRE;ELEMENTAIRE;CM2;PUBLIC;PUBLIC;27020
2009;REGION;CENTRE-VAL-DE-LOIRE;ULIS;ULIS;PRIVE;SOUS CONTRAT;38
2009;REGION;CENTRE-VAL-DE-LOIRE;ULIS;ULIS;PUBLIC;PUBLIC;1700
2009;REGION;CORSE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PRIVE;SOUS CONTRAT;27
2009;REGION;CORSE;PRE-ELEMENTAIRE;TRES PETITE SECTION;PUBLIC;PUBLIC;224
2009;REGION;CORSE;PRE-ELEMENTAIRE;PETITE SECTION;PRIVE;SOUS CONTRAT;100
2009;REGION;CORSE;PRE-ELEMENTAIRE;PETITE SECTION;PUBLIC;PUBLIC;2855
2009;REGION;CORSE;PRE-ELEMENTAIRE;MOYENNE SECTION;PRIVE;SOUS CONTRAT;106
2009;REGION;CORSE;PRE-ELEMENTAIRE;MOYENNE SECTION;PUBLIC;PUBLIC;2880
2009;REGION;CORSE;PRE-ELEMENTAIRE;GRANDE SECTION;PRIVE;SOUS CONTRAT;97
